Date,Open,High,Low,Close,Adj Close,Volume
04/01/2010,21860.03906,22024.83008,21689.2207,21823.2793,21823.2793,1006199600
05/01/2010,22092.15039,22297.03906,21987.26953,22279.58008,22279.58008,1965584800
06/01/2010,22357.46094,22514.78906,22277.13086,22416.66992,22416.66992,2100234000
07/01/2010,22548.0293,22548.0293,22169.60938,22269.44922,22269.44922,1495365300
08/01/2010,22282.75,22443.2207,22206.16016,22296.75,22296.75,1626022600
11/01/2010,22524.17969,22671.91992,22373.96094,22411.51953,22411.51953,1744637600
12/01/2010,22378.23047,22476.11914,22192.98047,22326.64063,22326.64063,2204776800
13/01/2010,21990.67969,22012.03906,21688.16992,21748.59961,21748.59961,3414190400
14/01/2010,21871.00977,21988.92969,21707.09961,21716.94922,21716.94922,2338667600
15/01/2010,21715.08984,21788.84961,21581.07031,21654.16016,21654.16016,2659842200
18/01/2010,21418.33984,21645.67969,21320.9707,21460.00977,21460.00977,1867401600
19/01/2010,21481.10938,21681.68945,21335.59961,21677.98047,21677.98047,1913397800
20/01/2010,21543.25,21561.56055,21171.30078,21286.16992,21286.16992,2197552000
21/01/2010,21192.83008,21272.25977,20828.24023,20862.66992,20862.66992,2465648800
22/01/2010,20527.19922,20738.99023,20250.35938,20726.17969,20726.17969,3220362000
25/01/2010,20447.78906,20619.69922,20422.66992,20598.55078,20598.55078,1909841600
26/01/2010,20560.10938,20560.10938,20046.59961,20109.33008,20109.33008,2270009200
27/01/2010,20185.80078,20340.82031,19923.55078,20033.07031,20033.07031,1822372600
28/01/2010,20202.33008,20437.56055,20170.15039,20356.36914,20356.36914,1880647200
29/01/2010,20026.51953,20327.68945,19916.33984,20121.99023,20121.99023,1784257400
01/02/2010,19987.66992,20254.24023,19845.92969,20243.75,20243.75,1701996800
02/02/2010,20432.96094,20533.96094,20181.2793,20272.17969,20272.17969,1561642000
03/02/2010,20486.15039,20780.5,20315.31055,20722.08008,20722.08008,1922114800
04/02/2010,20534.74023,20554.19922,20316.33008,20341.64063,20341.64063,1607734100
05/02/2010,19706.24023,19822.92969,19655.88086,19665.08008,19665.08008,2515439200
08/02/2010,19614.84961,19673.10938,19423.05078,19550.89063,19550.89063,1751004600
09/02/2010,19493.5,19843.86914,19461.19922,19790.2793,19790.2793,1495157300
10/02/2010,19914.83984,19976.66016,19681.53906,19922.2207,19922.2207,1581352800
11/02/2010,20095.5293,20310.78906,20095.5293,20290.68945,20290.68945,1338864100
12/02/2010,20240.66992,20428.32031,20212.55078,20268.68945,20268.68945,1193582100
17/02/2010,20657.85938,20684.2207,20471.35938,20534.00977,20534.00977,1111742000
18/02/2010,20534.76953,20569.60938,20381.30078,20422.15039,20422.15039,720614400
19/02/2010,20261.49023,20261.49023,19874.55078,19894.01953,19894.01953,1329484500
22/02/2010,20407.83984,20427.08984,20313.15039,20377.26953,20377.26953,1067658300
23/02/2010,20218.50977,20711.75,20120.09961,20623,20623,1469337300
24/02/2010,20357.41992,20583.83984,20351.05078,20467.74023,20467.74023,1508097400
25/02/2010,20512.38086,20644.26953,20261.98047,20399.57031,20399.57031,1980209600
26/02/2010,20657.83008,20662.83984,20567.58008,20608.69922,20608.69922,1492479400
01/03/2010,20853.08008,21056.92969,20853.08008,21056.92969,21056.92969,2585990000
02/03/2010,20921.43945,20961.83008,20847.46094,20906.10938,20906.10938,2296292200
03/03/2010,21016.28906,21016.28906,20845.16016,20876.78906,20876.78906,1674115300
04/03/2010,20983.81055,21000.13086,20575.7793,20575.7793,20575.7793,1910837600
05/03/2010,20820.9707,20820.9707,20654.93945,20787.9707,20787.9707,2875176000
08/03/2010,21099.71094,21257.08984,21080.75977,21196.86914,21196.86914,2052899600
09/03/2010,21153.61914,21277.66016,21128.92969,21207.55078,21207.55078,1421012500
10/03/2010,21293.51953,21293.51953,21156.08984,21208.28906,21208.28906,1257677200
11/03/2010,21333.06055,21333.06055,21059.06055,21228.19922,21228.19922,1402218700
12/03/2010,21249.80078,21260.07031,21116.83984,21209.74023,21209.74023,1164407200
15/03/2010,21036.41992,21116.5,20964.31055,21079.09961,21079.09961,1143308800
16/03/2010,21135.78906,21196.83008,20986.68945,21022.92969,21022.92969,1027809600
17/03/2010,21183.59961,21440.17969,21159.42969,21384.49023,21384.49023,1612088200
18/03/2010,21429.68945,21440.81055,21287.36914,21330.66992,21330.66992,1341953000
19/03/2010,21359.55078,21389,21257.80078,21370.82031,21370.82031,1347445900
22/03/2010,21120.42969,21120.42969,20899.68945,20933.25,20933.25,1572548900
23/03/2010,21070.65039,21211.08008,20971.56055,20987.7793,20987.7793,1253196700
24/03/2010,21203.5,21205.5,20974.05078,21008.61914,21008.61914,1282110100
25/03/2010,20799.05078,20800.94922,20659.2793,20778.55078,20778.55078,1456677500
26/03/2010,20679.65039,21126.75,20679.65039,21053.10938,21053.10938,1863882000
29/03/2010,21148.05078,21318.23047,21125.91016,21237.42969,21237.42969,1394443900
30/03/2010,21230.5293,21450.98047,21202.16992,21374.78906,21374.78906,1749750800
31/03/2010,21366.61914,21446.80078,21230.28906,21239.34961,21239.34961,2159444200
01/04/2010,21390.89063,21547.66016,21373.16016,21537,21537,2059414400
07/04/2010,21828.34961,21935.41016,21747.57031,21928.76953,21928.76953,2868746800
08/04/2010,21836.41992,21949.25,21813.34961,21867.03906,21867.03906,1712260400
09/04/2010,22014.73047,22249.23047,21963.7793,22208.5,22208.5,2129071600
