Country,Confirmed Cases,Number of deaths, Death rate(%)
Italy,"119,827","14,681","12.25",
Netherlands,"15,723","1,487","9.46",
United Kingdom,"38,168","3,605","9.45",
Spain,"119,199","11,198","9.39",
Indonesia,"1,986","181","9.11",
Algeria,"1,171","105","8.97",
France,"82,165","6,507","7.92",
Belgium,"16,770","1,143","6.82",
Iran,"53,183","3,294","6.19",
Sweden,"6,131","358","5.84",
Dominican Republic,"1,488","68","4.57",
Philippines,"3,018","136","4.51",
Ecuador,"3,368","145","4.31",
Romania,"3,183","133","4.18",
China,"82,526","3,330","4.04",
Brazil,"9,216","365","3.96",
Greece,"1,613","63","3.91",
Peru,"1,595","61","3.82",
Denmark,"3,759","139","3.7",
Mexico,"1,688","60","3.55",
Argentina,"1,353","42","3.1",
Switzerland,"19,702","604","3.07",
Ireland,"4,273","120","2.81",
India,"3,082","86","2.79",
Serbia,"1,476","39","2.64",
Ukraine,"1,072","28","2.61",
United States,"277,996","7,140","2.57",
Portugal,"9,886","246","2.49",
Panama,"1,673","41","2.45",
Japan,"2,935","69","2.35",
Poland,"3,383","73","2.16",
Turkey,"20,921","425","2.03",
Colombia,"1,267","25","1.97",
South Korea,"10,156","177","1.74",
Malaysia,"3,333","53","1.59",
Canada,"12,545","188","1.5",
Pakistan,"2,708","40","1.48",
Austria,"11,544","168","1.46",
Germany,"91,159","1,275","1.4",
Czechia,"4,194","56","1.34",
Finland,"1,615","20","1.24",
Saudi Arabia,"2,039","25","1.23",
Luxembourg,"2,612","31","1.19",
Norway,"5,370","59","1.1",
Thailand,"2,067","20","0.97",
Russia,"4,149","34","0.82",
Croatia,"1,079","8","0.74",
United Arab Emirates,"1,264","9","0.71",
South Africa,"1,505","9","0.6",
Chile,"3,737","22","0.59",
Australia,"5,550","30","0.54",
Singapore,"1,114","6","0.54",
Israel,"7,428","40","0.54",
Iceland,"1,364","4","0.29",
Qatar,"1,075","3","0.28",
